Species,Egg Style,Egg Clutch,Snout-Vent Length Male,Snout-Vent Length Female,Average Snout-Vent Length Adult,Average Altitude,Average Temperature,Average Rainfall
Allophryne relicta,,,20.9,,20.9,100,24.9,771.36
Allophryne resplendens,,,,,,105,,
Allophryne ruthveni,aquatic,300.0,,,,150,,
Alsodes cantillanensis,aquatic,60.0,45.9,44.2,45.05,789.5,,
Alsodes hugoi,[aquatic],,,,,1508,11.01,
Alsodes norae,,,,,46.0,560,,
Alsodes valdiviensis,aquatic,,49.65,51.55,,,9.04,
Alsodes vanzolinii,aquatic,,44.3,48.55,46.4,375,11.01,1098.54
Eupsophus migueli,terrestrial,24.0,37.75,,37.75,340,9.11,1469.73
Limnomedusa macroglossa,aquatic,,,,46.3,600,,
Alytes almogavarii,terrestrial,,,,50.0,1150,,
Alytes cisternasii,terrestrial,45.0,,,,700,,
Alytes dickhilleni,terrestrial,,,,,1605,14.01,
Alytes maurus,terrestrial,50.0,39.65,41.85,40.75,1125,,
Alytes muletensis,terrestrial,10.0,,,,430,14.01,673.46
Alytes obstetricans,terrestrial,,,,47.0,,,
Discoglossus galganoi,aquatic,900.0,,,,1025,,
Discoglossus montalentii,,,,,,990,11.35,
Discoglossus pictus,aquatic,35.0,,,,750,15.32,
Discoglossus sardus,aquatic,,,,,885,,
Discoglossus scovazzi,aquatic,,62.0,65.0,,1362,,
Latonia nigriventer,aquatic,,,98.7,,65,20.45,
Allobates brunneus,terrestrial,17.0,16.55,17.8,,260,,
Allobates chalcopis,,,17.4,17.25,,1100,26.1,1018.15
Allobates femoralis,terrestrial,13.0,30.5,34.0,32.25,,,
Allobates flaviventris,terrestrial,,18.8,20.4,19.6,150,,
Allobates grillisimilis,terrestrial,10.0,13.9,14.4,14.15,,26.77,2623.92
Allobates ignotus,,,17.35,18.9,,650,24.49,3402.78
Allobates juami,,,17.6,18.0,17.8,87,,2623.92
Allobates magnussoni,terrestrial,,17.84,19.41,18.6225,132,25.57,
Allobates marchesianus,,,,,,400,,
Allobates myersi,terrestrial,,28.0,33.0,30.5,235,,
Allobates olfersioides,,,,,,,,
Allobates ornatus,,,16.9,18.4,17.65,515,19.42,2103.09
Allobates paleovarzensis,terrestrial,29.0,20.35,20.12,20.23,60,25.63,
Allobates sieggreenae,,,15.8,16.3,,,,
Allobates talamancae,terrestrial,19.0,24.0,,24.5,400,24.11,
Allobates wayuu,terrestrial,,15.5,17.75,,495,24.49,3402.78
Allobates zaparo,terrestrial,,28.75,28.5,28.6,600,20.33,
Anomaloglossus moffetti,,,,,,1108,,
Anomaloglossus parkerae,,,19.2,24.2,21.7,,25.94,
Anomaloglossus roraima,terrestrial,5.0,18.75,17.9,,2280,,
Anomaloglossus stepheni,terrestrial,5.0,15.5,17.0,16.25,,26.45,
Aromobates nocturnus,,,,62.0,,2250,,
Mannophryne olmonae,terrestrial,,,21.6,,260,26.48,1399.7
Arthroleptis bioko,terrestrial,,30.05,,30.05,1571,24.47,
Arthroleptis crusculum,terrestrial,,,,,1125,,
Arthroleptis langeri,,,16.2,,,678.5,,1825.76
Arthroleptis nikeae,terrestrial,,,56.29,56.29,1900,,
Arthroleptis nlonakoensis,terrestrial,,19.7,18.95,19.3,450,,1826.87
Arthroleptis palava,,,23.5,26.9,,1450,,
Arthroleptis perreti,terrestrial,,29.5,37.5,33.5,,,1826.87
Arthroleptis poecilonotus,terrestrial,21.0,23.0,,,,,
Arthroleptis pyrrhoscelis,terrestrial,,,,,1580,,
Arthroleptis stenodactylus,terrestrial,57.0,,,,750,,
Astylosternus batesi,aquatic,,50.0,66.0,,500,,
Astylosternus diadematus,aquatic,,47.8,,47.8,675,,
Astylosternus fallax,aquatic,,49.0,61.0,,1000,25.04,
Astylosternus laticephalus,aquatic,,51.25,58.1,,102.5,,
Astylosternus laurenti,aquatic,,44.6,59.0,44.6,625,25.04,1826.87
Astylosternus montanus,aquatic,,42.1,52.1,42.1,1465,,
Astylosternus nganhanus,aquatic,,45.0,,45.0,1550,25.04,1826.87
Astylosternus occidentalis,aquatic,,52.0,55.9,,,26.38,
Astylosternus perreti,aquatic,,44.5,67.1,,,25.04,
Astylosternus ranoides,aquatic,,46.7,,,2300,25.04,1826.87
Astylosternus rheophilus,aquatic,,45.7,60.7,,1875,,
Astylosternus schioetzi,,,42.5,,42.5,,,1826.87
Cardioglossa annulata,,,22.8,31.45,,689,25.31,
Cardioglossa congolia,aquatic,,25.15,,25.15,495,25.31,1674.85
Cardioglossa occidentalis,aquatic,33.0,26.35,28.25,27.3,325,,
Leptopelis anchietae,,,,,,1000,22.68,
Leptopelis anebos,,,35.4,48.7,35.4,2062,,
Leptopelis argenteus,,,31.0,,31.0,,24.28,
Leptopelis aubryi,,,36.0,49.0,42.5,[N/A],,
Leptopelis aubryioides,,,32.5,40.5,,500,,
Leptopelis bocagii,terrestrial,,,58.0,,950,,
Leptopelis boulengeri,,,42.5,70.5,56.5,,,
Leptopelis brevirostris,terrestrial,,36.7,47.1,,,,
Leptopelis broadleyi,,,,47.5,,,,
Leptopelis bufonides,,,31.0,39.0,35.0,,,
Leptopelis calcaratus,aquatic,,38.5,51.5,45.0,,,
Leptopelis christyi,,,38.5,58.5,48.5,1550,,
Leptopelis concolor,,,32.5,,32.5,1500,,
Leptopelis cynnamomeus,terrestrial,,,,,,,
Leptopelis fenestratus,,,,48.0,48.0,1000,,
Leptopelis fiziensis,,,36.0,,36.0,1410,,2091.31
Leptopelis flavomaculatus,,,47.0,65.0,56.0,,,
Leptopelis gramineus,terrestrial,,32.5,51.5,,2900,23.53,1051.99
Leptopelis grandiceps,terrestrial,,36.5,40.5,38.5,1140,,
Leptopelis karissimbensis,,,,,,2500,,1732.04
Leptopelis kivuensis,,,34.5,,34.5,,,
Leptopelis mackayi,,,,,,1460,,
Leptopelis macrotis,,,43.0,79.0,61.0,400,,
Leptopelis millsoni,,,44.5,80.5,62.5,,,
Leptopelis modestus,,,30.5,38.5,34.5,1275,,
Leptopelis mossambicus,aquatic,,,,,500,,
Leptopelis natalensis,terrestrial,185.0,,,,500,,
Leptopelis nordequatorialis,,,41.5,51.0,,1500,,
Leptopelis notatus,,,46.0,67.0,56.5,,,
Leptopelis occidentalis,,,40.5,71.0,,100,26.905,
Leptopelis ocellatus,,,39.0,53.0,46.0,,,
Leptopelis oryi,,,36.0,50.0,,,23.19,1784.96
Leptopelis palmatus,,,,95.5,95.5,,26.11,1795.73
Leptopelis parbocagii,,,,,,,,
Leptopelis parkeri,,,37.0,56.0,,1150,,
Leptopelis parvus,,,29.5,46.5,38.0,1000,,
Leptopelis ragazzii,,,35.5,44.5,40.0,2470,23.53,1051.99
Leptopelis rufus,,,50.0,80.5,,577.5,,
Leptopelis spiritusnoctis,aquatic,,32.5,47.5,40.0,,,
Leptopelis susanae,,,34.5,50.5,42.5,2480,23.53,
Leptopelis uluguruensis,,,33.0,47.0,40.0,1175,,
Leptopelis vannutelli,,,,,,,,
Leptopelis vermiculatus,,,44.5,73.0,,1350,,
Leptopelis viridis,,,34.0,45.0,39.5,,,
Leptopelis xenodactylus,,,,,,1550,18.65,984.18
Leptopelis yaldeni,aquatic,,30.0,40.5,35.25,2350,,
Leptopelis zebra,,,33.5,45.0,,397.5,24.995,
Trichobatrachus robustus,aquatic,,130.0,90.0,,742,,
Ascaphus montanus,aquatic,,40.0,,40.0,,,
Ascaphus truei,aquatic,,,,,,,
Atelognathus patagonicus,aquatic,,50.0,,50.0,1339.5,15.15,
Chaltenobatrachus grandisonae,aquatic,,35.62,,34.18,471,,
Hylorina sylvatica,aquatic,,54.5,63.0,58.75,500,,
Barbourula busuangensis,,,,,,400,26.07,
Barbourula kalimantanensis,,,,,,750,25.56,
Bombina bombina,aquatic,190.0,,,,365,,
Bombina microdeladigitora,,,77.0,,,2306.5,,
Bombina orientalis,aquatic,148.0,,,,550,,713.76
Bombina pachypus,aquatic,,,,,,,
Bombina variegata,aquatic,73.0,,,,1100,,
Brachycephalus actaeus,terrestrial,,10.1,11.7,,265,18.37,1804.01
Brachycephalus alipioi,terrestrial,,,,14.35,1150,25.57,1764.83
Brachycephalus auroguttatus,,,,,,1085,18.37,
Brachycephalus boticario,,,,,,784,18.37,1804.01
Brachycephalus brunneus,,,,,,1450,18.37,1804.01
Brachycephalus bufonoides,terrestrial,5.0,13.25,15.5,,1200,22.66,1620.22
Brachycephalus coloratus,,,,,,1161,25.57,
Brachycephalus crispus,,,,,,950,25.57,1764.83
Brachycephalus curupira,,,,,,1147.5,25.57,1764.83
Brachycephalus darkside,,,,,16.65,1350,22.9,1247.78
Brachycephalus didactylus,,,,,,400,22.66,1620.22
Brachycephalus ephippium,terrestrial,,,,16.1,600,22.78,
Brachycephalus ferruginus,terrestrial,,,,,793,25.57,1764.83
Brachycephalus fuscolineatus,,,,,11.05,660,18.37,1804.01
Brachycephalus garbeanus,,,,,,1150,22.66,1620.22
Brachycephalus guarani,,,,,,710,25.57,1764.83
Brachycephalus hermogenesi,,,,,,450,22.66,1620.22
Brachycephalus izecksohni,,,,,,1300,25.57,1764.83
Brachycephalus leopardus,,,,,10.8,1520,25.57,
Brachycephalus margaritatus,,,,,,600,22.66,1620.22
Brachycephalus mariaeterezae,,,,,,1267.5,18.37,
Brachycephalus mirissimus,,,10.8,11.45,11.125,505,18.37,1804.01
Brachycephalus nodoterga,,,,,,700,25.57,1764.83
Brachycephalus olivaceus,,,,,,892.5,18.37,
Brachycephalus pernix,,,12.65,14.95,13.8,1400,25.57,1764.83
Brachycephalus pitanga,terrestrial,,11.45,13.3,12.375,904,25.57,
Brachycephalus pombali,,,,,,1300,25.57,
Brachycephalus pulex,,,,,,575,24.9,771.36
Brachycephalus quiririensis,,,,,,1290.5,18.37,
Brachycephalus sulfuratus,,,,,,500,18.37,1804.01
Brachycephalus toby,,,,,,750,,
Brachycephalus tridactylus,,,,,,927.5,25.57,1764.83
Brachycephalus verrucosus,,,,,,700,18.37,
Ischnocnema guentheri,terrestrial,25.0,,,29.5,269,,
Ischnocnema holti,terrestrial,15.0,,,,1750,22.78,
Ischnocnema nanahallux,,,13.65,15.6,14.6,1200,22.66,1620.22
Balebreviceps hillmani,terrestrial,,37.5,49.0,43.25,,23.53,1051.99
Breviceps adspersus,terrestrial,45.0,,,,1400,,
Breviceps bagginsi,terrestrial,,22.95,,22.95,712.5,18.65,
Breviceps carruthersi,terrestrial,35.0,,34.0,34.0,,,
Breviceps fuscus,terrestrial,43.0,,,45.5,500,17.01,361.23
Breviceps macrops,terrestrial,,,,48.0,,,
Breviceps ombelanonga,,,,,24.4,,,
Breviceps passmorei,,,30.7,45.05,,,,
Breviceps rosei,terrestrial,,,,,,17.01,361.23
Breviceps sopranus,terrestrial,,24.1,,24.1,175,,
Breviceps sylvestris,terrestrial,56.0,,,,1300,18.3,541.47
Breviceps verrucosus,,,,,,1000,,
Callulina laphami,,,25.9,39.45,,1806.5,,
Callulina stanleyi,terrestrial,35.0,,,,1200,,
Adenomus kandianus,aquatic,,,,,1439.5,26.95,1675.33
Adenomus kelaartii,aquatic,,29.0,43.0,36.0,630,26.95,1675.33
Altiphrynoides malcolmi,terrestrial,21.0,,,,3250,23.53,1051.99
Altiphrynoides osgoodi,aquatic,,49.75,53.85,51.8,2735,23.53,1051.99
Amazophrynella amazonicola,,,,,14.35,125,19.42,2103.09
Amazophrynella gardai,,,16.72,23.86,20.29,77.5,25.57,
Amazophrynella minuta,terrestrial,160.0,15.5,,18.0,150,,
Anaxyrus americanus,aquatic,6000.0,,75.1,,,,
Anaxyrus baxteri,aquatic,,,61.0,,2164,,
Anaxyrus boreas,aquatic,5200.0,82.0,,,1700,,
Anaxyrus californicus,aquatic,4714.0,59.0,72.0,,1220,,
Anaxyrus canorus,aquatic,1750.0,,,,2545,15.49,552.86
Anaxyrus cognatus,aquatic,11074.0,75.0,,,1220,,
Anaxyrus debilis,aquatic,1287.0,35.0,36.5,35.75,1295,,
Anaxyrus exsul,aquatic,,50.0,52.0,51.0,1615,15.49,552.86
Anaxyrus fowleri,aquatic,5221.0,58.8,62.2,,,,
Anaxyrus hemiophrys,aquatic,,62.0,68.0,65.0,,,
Anaxyrus houstonensis,aquatic,,57.5,68.5,64.5,,19.83,
Anaxyrus kelloggi,aquatic,,32.5,36.5,34.5,200,22.91,
Anaxyrus microscaphus,aquatic,4500.0,,,,1532.5,,
